Company Name,CIK
"Arcadia Biosciences, Inc.",1469443
"Archrock Partners, L.P.",1367064
Arconic Inc.,4281
Ares Commercial Real Estate Corp,1529377
"Argo Group International Holdings, Ltd.",1091748
"Ariel Clean Energy, Inc.",1499684
"Arista Networks, Inc.",1596532
Arlington Asset Investment Corp.,1209028
"Armada Hoffler Properties, Inc.",1569187
"Armour Residential REIT, Inc.",1428205
"Armstrong Energy, Inc.",1532288
"Armstrong Flooring, Inc.",1655075
"Arno Therapeutics, Inc",1195116
Aroga Holding Corp.,1529804
Arowana Inc.,1622577
Artisan Partners Asset Management Inc.,1517302
"Ascent Capital Group, Inc.",1437106
"Ascent Solar Technologies, Inc.",1350102
"Ashford Hospitality Prime, Inc.",1574085
Ashford Inc.,1604738
Asia Interactive Media Inc.,1172318
"Asia Training Institute US, Inc.",1672255
"Asia Training Institute, Inc.",1617431
Aspect FuturesAccess LLC,1309132
Asset Solutions Inc,1653629
"Associated Capital Group, Inc.",1642122
"Asterias Biotherapeutics, Inc.",1572552
"Atacama Resources International, Inc.",1584618
"Atara Biotherapeutics, Inc.",1604464
Atlantic Alliance Partnership Corp.,1630940
"Atlantic Capital Bancshares, Inc.",1461755
Atlantic Coast Financial CORP,1404296
Atlanticus Holdings Corp,1464343
"Atlas Energy Group, LLC",1623595
"Atlas Financial Holdings, Inc.",1539894
"Atlas Growth Partners, L.P.",1572702
Atlas Resources Public #18-2009 (B) L.P.,1432985
Atlas Resources Public #18-2009 (C) L.P.,1433833
Atlas Resources Series 28-2010 L.P.,1487561
"Atlas Technology International, Inc.",1624982
Atomera Inc,1420520
"AtriCure, Inc.",1323885
Audax Credit BDC Inc.,1633858
"Audentes Therapeutics, Inc.",1628738
Avalon Globocare Corp.,1630212
"Avangrid, Inc.",1634997
"AveXis, Inc.",1652923
Avery Dennison Corp,8818
Aviat Networks Inc,1377789
Avinger Inc,1506928
"Aviragen Therapeutics, Inc.",72444
Avista Healthcare Public Acquisition Corp.,1661181
Axalta Coating Systems Ltd.,1616862
Axar Acquisition Corp.,1615892
"Axion Power International, Inc.",1028153
"AxoGen, Inc.",805928
Axovant Sciences Ltd.,1636050
"Axsome Therapeutics, Inc.",1579428
"AzurRx BioPharma, Inc.",1604191
"B&G Foods, Inc.",1278027
"B. Riley Financial, Inc.",1464790
B/E AEROSPACE INC,861361
"BAB, INC.",1123596
BADGER METER INC,9092
BAKER HUGHES INC,808362
BALCHEM CORP,9326
BALDWIN & LYONS INC,9346
BALL CORP,9389
"BALLANTYNE STRONG, INC.",946454
BALTIC INTERNATIONAL USA INC,918545
BALTIMORE GAS & ELECTRIC CO,9466
BANCFIRST CORP /OK/,760498
BANCORPSOUTH INC,701853
BANK MUTUAL CORP,1123270
BANK OF AMERICA CORP /DE/,70858
BANK OF HAWAII CORP,46195
BANK OF SOUTH CAROLINA CORP,1007273
BANK OF THE JAMES FINANCIAL GROUP INC,1275101
BANK OF THE OZARKS INC,1038205
BANNER CORP,946673
BAR HARBOR BANKSHARES,743367
BARD C R INC /NJ/,9892
BARFRESH FOOD GROUP INC.,1487197
BARINGTON/HILCO ACQUISITION CORP.,1622175
BARNES & NOBLE INC,890491
BARNES GROUP INC,9984
BARRACUDA NETWORKS INC,1348334
BARRETT BUSINESS SERVICES INC,902791
BASIC ENERGY SERVICES INC,1109189
BAXTER INTERNATIONAL INC,10456
"BAY BANCORP, INC.",859222
BAY BANKS OF VIRGINIA INC,1034594
BAYNON INTERNATIONAL CORP,1089598
BB&T CORP,92230
"BBOOTH, INC.",1566610
"BBVA COMPASS BANCSHARES, INC",1409775
BBX CAPITAL CORP,921768
BCB BANCORP INC,1228454
BCTC IV ASSIGNOR CORP,1003815
BCTC V ASSIGNOR CORP,1267426
BEAR LAKE RECREATION INC,1074871
"BEAR STATE FINANCIAL, INC.",1006424
BEASLEY BROADCAST GROUP INC,1099160
BED BATH & BEYOND INC,886158
BEL FUSE INC /NJ,729580
BELDEN INC.,913142
"BELLICUM PHARMACEUTICALS, INC",1358403
BEMIS CO INC,11199
BENCHMARK ELECTRONICS INC,863436
BERKLEY W R CORP,11544
BERKSHIRE HATHAWAY ENERGY CO,1081316
BERKSHIRE HATHAWAY INC,1067983
BERKSHIRE HILLS BANCORP INC,1108134
BFC FINANCIAL CORP,315858
"BG Staffing, Inc.",1474903
"BGC Partners, Inc.",1094831
BIG 5 SPORTING GOODS Corp,1156388
BIGLARI HOLDINGS INC.,93859
BILL BARRETT CORP,1172139
"BIM HOMES, INC.",1644889
"BIMINI CAPITAL MANAGEMENT, INC.",1275477
BINGHAM CANYON CORP,1119897
BINGO NATION INC,1376316
BIO KEY INTERNATIONAL INC,1019034
BIO RAD LABORATORIES INC,12208
BIO-PATH HOLDINGS INC,1133818
BIO-TECHNE Corp,842023
"BIOADAPTIVES, INC.",1575142
BIOCEPT INC,1044378
BIOCRYST PHARMACEUTICALS INC,882796
BIODELIVERY SCIENCES INTERNATIONAL INC,1103021
BIOETHICS LTD,894560
BIOGEN INC.,875045
"BIOHITECH GLOBAL, INC.",1590383
"BIOLARGO, INC.",880242
"BIOLASE, INC",811240
BIOLIFE SOLUTIONS INC,834365
BIOMARIN PHARMACEUTICAL INC,1048477
BIOMERICA INC,73290
BION ENVIRONMENTAL TECHNOLOGIES INC,875729
BIOSPECIFICS TECHNOLOGIES CORP,875622
BIOTIME INC,876343
BIOTRICITY INC.,1630113
BIOVIE INC.,1580149
"BIRDBILL, INC.",1647771
BIRNER DENTAL MANAGEMENT SERVICES INC,948072
BJs RESTAURANTS INC,1013488
BLACK BOX CORP,849547
BLACK HILLS CORP /SD/,1130464
BLACK HILLS POWER INC,12400
BLACKBAUD INC,1280058
BLACKBOXSTOCKS INC.,1567900
"BLACKCRAFT CULT, INC.",1521549
"BLACKHAWK NETWORK HOLDINGS, INC",1411488
"BLACKSTONE MORTGAGE TRUST, INC.",1061630
BLASTGARD INTERNATIONAL INC,1102358
BLONDER TONGUE LABORATORIES INC,1000683
"BLUCORA, INC.",1068875
"BLUE CALYPSO, INC.",1399587
BLUE DOLPHIN ENERGY CO,793306
BLUE NILE INC,1091171
BLUE SPHERE CORP.,1419582
BMB MUNAI INC,924805
"BMC STOCK HOLDINGS, INC.",1574815
BNC BANCORP,1210227
BNSF RAILWAY CO,15511
BOEING CO,12927
BOINGO WIRELESS INC,1169988
BOISE CASCADE Co,1328581
BOK FINANCIAL CORP ET AL,875357
BORGWARNER INC,908255
BOSTON BEER CO INC,949870
BOSTON CAPITAL TAX CREDIT FUND II LTD PARTNERSHIP,853566
BOSTON CAPITAL TAX CREDIT FUND III L P,879555
BOSTON CAPITAL TAX CREDIT FUND IV LP,913778
BOSTON CAPITAL TAX CREDIT FUND V LP,1267425
BOSTON OMAHA Corp,1494582
BOSTON PRIVATE FINANCIAL HOLDINGS INC,821127
BOSTON PROPERTIES INC,1037540
BOSTON PROPERTIES LTD PARTNERSHIP,1043121
BOSTON SCIENTIFIC CORP,885725
BOTTOMLINE TECHNOLOGIES INC /DE/,1073349
BOULEVARD ACQUISITION CORP. II,1649173
BOVIE MEDICAL Corp,719135
BOWL AMERICA INC,13573
BOYD GAMING CORP,906553
BP PRUDHOE BAY ROYALTY TRUST,850033
BRADY CORP,746598
